Navn,Pris,Valuta,Begraenset,AntalOutfits,Aar,By
8 Ball Jake,300,Event,Ja,0,2025,Greece
Ace,,RigtigePenge,Ja,1,2019,Macau
Aina,95000,Moenter,Ja,2,2016,Madagascar
Akira,25000,Event,Ja,1,2021,Tokyo
Alba,95000,Moenter,Ja,2,2019,Houston
Alex,95000,Moenter,Ja,1,2013,Moscow
Alexandre,15000,Event,Ja,1,2021,SchoolSeason
Alfie,300,Event,Ja,2,2023,FantasyFest
Alia,210,Event,Ja,1,2022,Mumbai
Alicia,60,Noegler,Ja,2,2019,Atlanta
Alma Brava,,RigtigePenge,Ja,0,2025,Mexico
Amira,100000,Moenter,Ja,2,2015,Arabia
Amy,,RigtigePenge,Ja,1,2019,Chengdu
Andy,75,Noegler,Ja,2,2020,Seattle
Asher,,Event,Ja,1,2025,WashingtonDC
Astra,,Event,Ja,0,2024,LasVegas
Audrey,,Event,Ja,0,2024,Sydney
Azura,,Event,Ja,0,2024,Greece
Ballerina Latticina,,RigtigePenge,Ja,0,2025,NewYork
Ballerina Tricky,48000,Event,Ja,0,2024,Classic
Berta,,Event,Ja,1,2025,Barcelona
Billy Bean,,Event,Ja,0,2024,Sydney
Bjarki,95000,Moenter,Ja,2,2016,Iceland
Bob The Blob,30000,Event,Ja,2,2021,Mexico
Bonnie,,RigtigePenge,Ja,2,2021,Oxford
Boombot,,RigtigePenge,Nej,0,2018,VeniceBeach
Brandon,40,Noegler,Ja,1,2018,HongKong
Brody,350000,Moenter,Nej,2,2012,Classic
Bruno,,Event,Ja,0,2023,BuenosAires
Buddy,95000,Moenter,Ja,2,2014,London
Bunny Betty,400,Event,Ja,1,2026,Ireland
Buzz,75,Noegler,Ja,0,2021,Houston
Callum,40,Noegler,Ja,2,2020,Edinburgh
Captain Flash,,Event,Ja,0,2023,NorthPole
Carlos,95000,Moenter,Ja,2,2016,Peru
Carmen,100000,Moenter,Ja,2,2013,Rio
Cathy,60,Noegler,Ja,2,2020,Cambridge
Catrine,,Event,Ja,1,2023,Copenhagen
Charlie,210,Event,Ja,0,2022,Barcelona
Chicken Jake,,Event,Ja,0,2025,Edinburgh
Chuck,210,Event,Ja,0,2026,Copenhagen
Clementine,600,Event,Ja,2,2021,NorthPole
Cleo,25000,Event,Ja,2,2021,LasVegas
Clockwork Johnny,,Event,Ja,0,2023,NorthPole
Coco,100000,Moenter,Ja,2,2013,Paris
Costa,,RigtigePenge,Ja,0,2025,Barcelona
Crewmate Guard,,Event,Ja,0,2025,Mexico
Crewmate Jake,,Event,Ja,0,2025,Mexico
Crewmate King,,Event,Ja,0,2025,Mexico
Crewmate Spike,,Event,Ja,0,2025,Mexico
Crewmate Tasha,,Event,Ja,0,2025,Mexico
Crewmate Tricky,,Event,Ja,0,2025,Mexico
Dak,50,Noegler,Ja,0,2020,Miami
Dan Under,,RigtigePenge,Ja,0,2026,Sydney
Darryl,,RigtigePenge,Ja,1,2021,NewYork
Demi Lovato,,Event,Ja,0,2024,Iceland
Diego,95000,Moenter,Ja,2,2017,Barcelona
Dino,,Event,Nej,0,2014,Bangkok
Dinorange,,RigtigePenge,Ja,0,2025,Rio
Dog,,Event,Nej,0,,
Dr. Flyman,,Event,Ja,0,2024,HauntedHood
Dragon,,Event,Ja,0,2024,Greece
Dummy,300,Event,Ja,1,2022,Monaco
Dylan,100000,Moenter,Ja,2,2018,VeniceBeach
Dynamike,,Event,Ja,0,2025,BrawlStars
E.Z.,95000,Moenter,Ja,2,2018,Chicago
Eddy,100000,Moenter,Ja,2,2013,NewOrleans
Edison,100000,Moenter,Ja,1,2014,SãoPaulo
El Primo,400,Event,Ja,0,2025,BrawlStars
Electra,,Event,Ja,0,2024,Underwater
Elf Fresh,35000,Event,Ja,0,2022,SubwayCityXMas
Elf Jake,400,Event,Ja,0,2022,SubwayCityXMas
Elf Tricky,95000,Moenter,Ja,2,2012,
Elf Yutani,,Event,Ja,0,2022,SubwayCityXMas
Ella,150000,Moenter,Nej,2,2012,Classic
Enzo,,Event,Ja,1,2026,Rome
Faiza,47000,Event,Ja,0,2024,Marrakesh
Fantasma,,Event,Ja,1,2022,Mexico
Festive Frank,,RigtigePenge,Ja,2,2020,SaintPetersburg
Festive Fresh,30,Event,Ja,2,2019,WinterHoliday
Festive Jake,95000,Moenter,Ja,1,2020,SaintPetersburg
Festive Spike,,RigtigePenge,Ja,0,2020,SaintPetersburg
